Variable 1,Variable 2,Correlation,Regression Slope,Regression Intercept
pl_orbper,pl_orbpererr1,0.999729811951344,1.1683506559346781,-3984.490601192563
pl_orbper,pl_orbpererr2,-0.9993820496683113,-0.24885740952387797,-557.1874677682972
pl_orbper,pl_orbsmax,0.9967150874380023,1.8691670855008776e-05,0.7678350495661403
pl_orbper,pl_orbsmaxerr1,0.9997336121951729,1.2942184369336374e-05,0.06019895949330811
pl_orbper,pl_orbsmaxerr2,-0.9980407788531279,-5.12759891334498e-06,-0.09714466564347557
pl_orbpererr1,pl_orbpererr2,-0.9989968055494034,-0.21285926938835154,-1418.6208422025156
pl_orbpererr1,pl_orbsmax,0.995783593357772,1.597800810101806e-05,0.8672641901072833
pl_orbpererr1,pl_orbsmaxerr1,0.9998481727938232,1.1075524225775448e-05,0.13266478850703622
pl_orbpererr1,pl_orbsmaxerr2,-0.9975277439033188,-4.385272298186467e-06,-0.13021669522981683
pl_orbpererr2,pl_orbsmax,-0.9973925554594005,-7.51096426306617e-05,0.7536018455053848
pl_orbpererr2,pl_orbsmaxerr1,-0.9994315602984316,-5.1958730216767844e-05,0.018576597238374237
pl_orbpererr2,pl_orbsmaxerr2,0.9993408619601725,2.0618661231784525e-05,-0.08353094800451755
pl_orbperlim,pl_orbsmaxlim,0.706976762470512,0.5000000000000094,6.938893903907228e-18
pl_orbsmax,pl_orbsmaxerr1,0.6215814973730613,0.2602632861042746,-0.958713000073955
pl_orbsmax,pl_orbsmaxerr2,-0.6456931151667711,-0.10839930391974821,0.20057246822141517
pl_orbsmaxerr1,pl_orbsmaxerr2,-0.9941621059299252,-0.3986049727991877,-0.231329958141695
pl_rade,pl_radj,0.9999923943900536,0.0892226871499591,-1.30718865534174e-05
pl_radeerr1,pl_radeerr2,-0.635832954738264,-0.39433590241605593,-0.2113284767701482
pl_radeerr1,pl_radjerr1,0.99999468831937,0.08921633070779302,2.727771111418753e-06
pl_radeerr1,pl_radjerr2,-0.63582171754259,-0.03518186911169128,-0.018857093046953186
pl_radeerr1,st_raderr1,0.7232119858722021,0.7845904852303127,-0.2586699093976021
pl_radeerr2,pl_radjerr1,-0.6358305814505331,-0.09146707491040366,0.008338892541849885
pl_radeerr2,pl_radjerr2,0.9999903997091325,0.08921874199326546,-2.484354258883159e-06
pl_radelim,pl_radjlim,1.0,1.0000000000000129,8.565197162635485e-18
pl_radjerr1,pl_radjerr2,-0.635828183804517,-0.3943452925371975,-0.018855928391333557
pl_radjerr1,st_raderr1,0.7231887583572592,8.79393564456279,-0.25867755838224904
pl_bmasse,pl_bmasseerr1,0.583478638639271,0.27375018330813744,-29.763708044395685
pl_bmasse,pl_bmasseerr2,-0.6803947270388598,-0.177449049738728,7.409345332485799
pl_bmasse,pl_bmassj,0.9999768768419715,0.003146678851258218,2.0228823677914676e-05
pl_bmasse,pl_bmassjerr1,0.5832518778071032,0.0008623718852623805,-0.09400363429410141
pl_bmasse,pl_bmassjerr2,-0.6806951602342908,-0.0005584519670738014,0.023314756023374905
pl_bmasseerr1,pl_bmasseerr2,-0.8609262914019636,-0.47857416670284186,-40.67760955997055
pl_bmasseerr1,pl_bmassj,0.583569216043516,0.003914091382690879,1.6288725903533958
pl_bmasseerr1,pl_bmassjerr1,0.9999172299350777,0.003151178741189183,-0.00040516858146344426
pl_bmasseerr1,pl_bmassjerr2,-0.8608937792928903,-0.0015054047230899797,-0.1281427378518048
pl_bmasseerr2,pl_bmassj,-0.6805557719939631,-0.008211434392075034,1.2921881317571493
pl_bmasseerr2,pl_bmassjerr1,-0.8610913566894288,-0.004881743254946919,-0.060667103133695055
pl_bmasseerr2,pl_bmassjerr2,0.9999817298495686,0.003145665134535275,-0.00017961848616193654
pl_bmasselim,pl_bmassjlim,1.0,1.0000000000000053,-1.5612511283791264e-16
pl_bmassj,pl_bmassjerr1,0.5833594557638156,0.2740984888016445,-0.09411547973311174
pl_bmassj,pl_bmassjerr2,-0.6808461054772859,-0.177506424249707,0.023402367205237307
pl_bmassjerr1,pl_bmassjerr2,-0.8610829442415312,-0.47779291523219347,-0.12830133341430433
pl_orbeccenerr1,pl_orbeccenerr2,-0.7351228868563435,-0.5992907037258861,-0.01488523850420042
pl_insol,pl_insolerr1,0.7941132358817744,0.13880306711286658,-5.938547847374565
pl_insol,pl_insolerr2,-0.8457787796893189,-0.12109831692306776,9.431716515983332
pl_insol,pl_eqt,0.5852204967010101,0.19921556910951027,827.6699517601141
pl_insolerr1,pl_insolerr2,-0.9618517781292912,-0.7879031678758575,0.6966660203039794
pl_eqterr1,pl_eqterr2,-0.9629607201012759,-0.9647902647215352,-0.5819529679057744
st_tefferr1,st_tefferr2,-0.7274801702027607,-0.7457489261196084,-25.82422481308876
st_tefferr2,st_loggerr2,0.5681813636665497,0.0008397579680560649,-0.015154167139479896
st_rad,st_raderr2,-0.6896826794575455,-0.159367026177808,0.08511014228818042
st_rad,st_logg,-0.7216977245755102,-0.08034569445551933,4.502987247623023
st_raderr1,st_raderr2,-0.5259944965956973,-0.2770498669961684,-0.09605329034358837
st_raderr2,st_masserr1,-0.5975251146983067,-0.13189563234548476,0.05739021595569208
st_raderr2,st_masserr2,0.609382544392015,0.1325918052905562,-0.05398404569998069
st_mass,st_masserr1,0.5116000681310455,0.24233698567039316,-0.14222129182760362
st_mass,st_masserr2,-0.5460865510499309,-0.2515812268012761,0.1571217450875076
st_mass,st_logg,-0.635646199722063,-0.7166485485815548,5.07139318666268
st_masserr1,st_masserr2,-0.9822324922874063,-0.9553074017923601,0.002422103049100427
st_meterr1,st_meterr2,-0.949178041742108,-1.0407868439295591,-0.0018728408718221567
st_metlim,st_logglim,0.7072350080043913,0.5000000000000001,-0.00036258158085569254
st_loggerr1,st_loggerr2,-0.7157506616102852,-0.8972483563159961,-0.023209222011983943
sy_dist,sy_disterr1,0.8433125521976901,0.16328984902411256,-56.811180012497985
sy_dist,sy_disterr2,-0.8582656290961137,-0.1969934999410415,73.71053290318638
sy_dist,sy_vmag,0.6079649418514714,0.0035163227965640327,10.790304910226062
sy_dist,sy_kmag,0.7014663786615086,0.0039188582369596905,8.432476688931223
sy_dist,sy_gaiamag,0.6435051547583083,0.004041499420590937,10.282016378027235
sy_disterr1,sy_disterr2,-0.9588049733584647,-1.136553361354305,1.1166633440483196
sy_vmag,sy_kmag,0.943253437897725,0.9229825926773128,-1.1944635629041969
sy_vmag,sy_gaiamag,0.9939127972760574,0.9852265563211753,-0.09739368589194441
sy_vmagerr1,sy_vmagerr2,-0.8195292440061689,-1.219489950427771,0.020125341014378573
sy_kmag,sy_gaiamag,0.9692372252456839,0.9788818849251113,2.096808773113292
sy_kmagerr1,sy_kmagerr2,-0.9888372576709089,-1.010848397516225,0.0004793594066675247
sy_gaiamagerr1,sy_gaiamagerr2,-1.0,-1.0000000000000018,1.0842021724855044e-18
