P_NAME,P_PERIOD,P_MASS,P_RADIUS,P_TEMP_EQUIL,P_FLUX,S_NAME,S_TEMPERATURE,P_ESI
Teegarden's Star b,4.90634,1.16,1.05,259.52272,1.0779435,Teegarden's Star,3034.0,0.96836238
TOI-700 d,37.42396,1.25,1.073,245.2216,0.85982688,TOI-700,3459.0,0.94117592
Kepler-1649 c,19.53527,1.2,1.06,268.05713,1.2260568,Kepler-1649,3240.0,0.9252979
TOI-700 e,27.80978,0.818,0.953,270.67786,1.2780493,TOI-700,3459.0,0.91203186
TRAPPIST-1 d,4.049219,0.388,0.788,261.81089,1.1157703,TRAPPIST-1,2566.0,0.90766241
LP 890-9 c,8.457463,25.3,1.367,248.70817,0.90857617,LP 890-9,2850.0,0.88525109
K2-72 e,24.158868,2.21,1.29,271.56093,1.3032621,K2-72,3360.47,0.87082357
Proxima Cen b,11.1868,1.07,1.03,231.1796,0.67846824,Proxima Cen,2900.0,0.86414229
GJ 1002 b,10.3465,1.08,1.03,230.74995,0.67323642,GJ 1002,3024.0,0.86151546
GJ 1061 d,13.031,1.64,1.16,218.33549,0.68678031,GJ 1061,2953.0,0.85863511
