Feature,LR_Coeff,RF_Importance,XGB_Importance,Perm_Importance,Average_Importance
pl_insol,1.0,1.0,1.0,1.0,1.0
pl_rade,0.7241608379025842,0.40475876627412816,0.2368151834868184,0.17751479289940822,0.3858123951407348
HSI,0.44429733411828604,0.7278310935486456,0.010632948639650345,0.2149901380670611,0.3494378785934108
pl_eqt,0.004656955482385428,0.7448469084059316,0.02579052596420648,0.07100591715976326,0.2115750767530717
planet_density,0.3667683759206122,0.27268309097199506,0.0027016974100974637,0.0,0.1605382910756762
star_type_K,0.3249440132489754,0.008036531529923955,0.0,0.0,0.08324513619472484
star_type_G,0.2711385156674877,0.002634361580998921,0.0,0.0,0.06844321931212166
pl_bmasse,0.07148611239193992,0.14430623568808346,0.006416447635071075,0.0,0.05555219892877361
star_type_M,0.1829772125036431,0.0025286269665871605,0.0,0.0,0.04637645986755756
SCI,0.02562858685678052,0.0410629137434865,0.0036550178423430755,0.0,0.017586629610652525
st_teff,0.0001829713601341719,0.03300454733220679,0.02709492355637653,0.0,0.015070610562179374
star_luminosity,0.014515112076451318,0.03267905339738281,0.0020496908859614885,0.0,0.012310964089948903
pl_orbper,0.004219343759491091,0.03182612428837409,0.010367999745596128,0.0,0.011603366948365328
star_type_F,0.0,0.0,0.0,0.0,0.0
