Feature 1,Feature 2,Correlation
P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,-0.9190828808865839
S_RA,S_RA_H,0.9999999999999937
S_RADIUS,S_RADIUS_EST,0.9744609781456738
P_DISTANCE,P_APASTRON,0.9214916292727999
P_DISTANCE,P_DISTANCE_EFF,0.988250343002663
P_DISTANCE,P_SEMI_MAJOR_AXIS_EST,0.9891310296726759
P_APASTRON,P_DISTANCE_EFF,0.9200472779638859
P_APASTRON,P_SEMI_MAJOR_AXIS_EST,0.9225312858264193
P_DISTANCE_EFF,P_SEMI_MAJOR_AXIS_EST,0.9997817723765181
P_FLUX,P_FLUX_MIN,0.9184425637231912
P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,0.9895214862300958
P_TEMP_EQUIL,P_TEMP_EQUIL_MAX,0.9701601319082086
P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,0.9536601744133281
S_HZ_OPT_MIN,S_HZ_OPT_MAX,0.9893876592317616
S_HZ_OPT_MIN,S_HZ_CON_MIN,0.9999999998364424
S_HZ_OPT_MIN,S_HZ_CON_MAX,0.9893876779175391
S_HZ_OPT_MIN,S_HZ_CON0_MIN,0.999999829247449
S_HZ_OPT_MIN,S_HZ_CON0_MAX,0.9893876779175391
S_HZ_OPT_MIN,S_HZ_CON1_MIN,0.9999999927735657
S_HZ_OPT_MIN,S_HZ_CON1_MAX,0.9893876779175391
S_HZ_OPT_MIN,S_SNOW_LINE,0.9881224267145693
S_HZ_OPT_MAX,S_HZ_CON_MIN,0.9893877293790017
S_HZ_OPT_MAX,S_HZ_CON_MAX,0.9999999999985676
S_HZ_OPT_MAX,S_HZ_CON0_MIN,0.9893876192604784
S_HZ_OPT_MAX,S_HZ_CON0_MAX,0.9999999999985676
S_HZ_OPT_MAX,S_HZ_CON1_MIN,0.9893882561563848
S_HZ_OPT_MAX,S_HZ_CON1_MAX,0.9999999999985676
S_HZ_OPT_MAX,S_SNOW_LINE,0.9798352051585629
S_HZ_CON_MIN,S_HZ_CON_MAX,0.9893877480662102
S_HZ_CON_MIN,S_HZ_CON0_MIN,0.9999998389721519
S_HZ_CON_MIN,S_HZ_CON0_MAX,0.9893877480662102
S_HZ_CON_MIN,S_HZ_CON1_MIN,0.9999999947669831
S_HZ_CON_MIN,S_HZ_CON1_MAX,0.9893877480662102
S_HZ_CON_MIN,S_SNOW_LINE,0.9881221185896463
S_HZ_CON_MAX,S_HZ_CON0_MIN,0.9893876376808152
S_HZ_CON_MAX,S_HZ_CON0_MAX,1.0
S_HZ_CON_MAX,S_HZ_CON1_MIN,0.9893882748731452
S_HZ_CON_MAX,S_HZ_CON1_MAX,1.0
S_HZ_CON_MAX,S_SNOW_LINE,0.9798352233046749
S_HZ_CON0_MIN,S_HZ_CON0_MAX,0.9893876376808151
S_HZ_CON0_MIN,S_HZ_CON1_MIN,0.9999998841489087
S_HZ_CON0_MIN,S_HZ_CON1_MAX,0.9893876376808151
S_HZ_CON0_MIN,S_SNOW_LINE,0.9881099609511383
S_HZ_CON0_MAX,S_HZ_CON1_MIN,0.9893882748731452
S_HZ_CON0_MAX,S_HZ_CON1_MAX,1.0
S_HZ_CON0_MAX,S_SNOW_LINE,0.9798352233046749
S_HZ_CON1_MIN,S_HZ_CON1_MAX,0.9893882748731452
S_HZ_CON1_MIN,S_SNOW_LINE,0.988120579969933
S_HZ_CON1_MAX,S_SNOW_LINE,0.9798352233046749
