Column,Missing_Count,Missing_Percentage
P_ATMOSPHERE,4048,100.0
P_ALT_NAMES,4048,100.0
P_DETECTION_RADIUS,4048,100.0
P_GEO_ALBEDO,4048,100.0
P_DETECTION_MASS,4048,100.0
S_MAGNETIC_FIELD,4048,100.0
S_DISC,4048,100.0
P_TEMP_MEASURED,4043,99.87648221343873
P_GEO_ALBEDO_ERROR_MIN,4043,99.87648221343873
P_GEO_ALBEDO_ERROR_MAX,4043,99.87648221343873
P_TPERI_ERROR_MAX,3576,88.3399209486166
P_TPERI_ERROR_MIN,3576,88.3399209486166
P_TPERI,3567,88.11758893280633
P_OMEGA_ERROR_MIN,3355,82.88043478260869
P_OMEGA_ERROR_MAX,3355,82.88043478260869
P_ESCAPE,3342,82.5592885375494
P_POTENTIAL,3342,82.5592885375494
P_DENSITY,3342,82.5592885375494
P_GRAVITY,3342,82.5592885375494
P_OMEGA,3302,81.5711462450593
P_INCLINATION_ERROR_MAX,3238,79.9901185770751
P_INCLINATION_ERROR_MIN,3236,79.9407114624506
P_INCLINATION,3204,79.1501976284585
P_ECCENTRICITY_ERROR_MIN,3077,76.01284584980237
P_ECCENTRICITY_ERROR_MAX,3077,76.01284584980237
S_TYPE,2678,66.15612648221344
P_ECCENTRICITY,2668,65.9090909090909
P_IMPACT_PARAMETER_ERROR_MIN,2641,65.24209486166008
P_IMPACT_PARAMETER_ERROR_MAX,2641,65.24209486166008
P_IMPACT_PARAMETER,2639,65.19268774703558
P_MASS_ERROR_MAX,2581,63.759881422924906
P_MASS_ERROR_MIN,2581,63.759881422924906
P_HILL_SPHERE,2502,61.80830039525692
P_SEMI_MAJOR_AXIS_ERROR_MIN,2485,61.38833992094862
P_SEMI_MAJOR_AXIS_ERROR_MAX,2484,61.36363636363637
P_MASS,2450,60.523715415019765
S_AGE_ERROR_MIN,2161,53.38438735177866
S_AGE_ERROR_MAX,2161,53.38438735177866
S_AGE,2017,49.82707509881423
P_ANGULAR_DISTANCE,1687,41.67490118577075
P_SEMI_MAJOR_AXIS,1681,41.526679841897234
S_METALLICITY_ERROR_MIN,1602,39.57509881422925
S_METALLICITY_ERROR_MAX,1602,39.57509881422925
S_METALLICITY,1206,29.792490118577074
S_MASS_ERROR_MIN,1014,25.049407114624504
S_MASS_ERROR_MAX,985,24.33300395256917
S_ABIO_ZONE,965,23.838932806324113
P_RADIUS_ERROR_MIN,943,23.295454545454543
P_RADIUS_ERROR_MAX,943,23.295454545454543
P_RADIUS,909,22.455533596837945
S_TIDAL_LOCK,767,18.947628458498023
S_MASS,765,18.898221343873516
S_LOG_G,473,11.684782608695652
S_RADIUS_ERROR_MIN,472,11.6600790513834
S_RADIUS_ERROR_MAX,444,10.968379446640316
S_TEMPERATURE_ERROR_MIN,398,9.83201581027668
S_TEMPERATURE_ERROR_MAX,368,9.090909090909092
P_FLUX,327,8.07806324110672
P_TYPE_TEMP,327,8.07806324110672
P_TEMP_EQUIL_MAX,327,8.07806324110672
P_TEMP_EQUIL_MIN,327,8.07806324110672
P_TEMP_EQUIL,327,8.07806324110672
P_FLUX_MIN,327,8.07806324110672
P_ESI,327,8.07806324110672
P_FLUX_MAX,327,8.07806324110672
S_RADIUS,325,8.028656126482213
S_HZ_CON1_MIN,262,6.472332015810276
S_HZ_CON_MAX,262,6.472332015810276
S_HZ_CON_MIN,262,6.472332015810276
S_HZ_OPT_MAX,262,6.472332015810276
S_HZ_CON1_MAX,262,6.472332015810276
S_SNOW_LINE,262,6.472332015810276
S_HZ_CON0_MAX,262,6.472332015810276
S_LUMINOSITY,262,6.472332015810276
S_HZ_OPT_MIN,262,6.472332015810276
S_HZ_CON0_MIN,262,6.472332015810276
P_PERIOD_ERROR_MIN,241,5.953557312252965
P_PERIOD_ERROR_MAX,241,5.953557312252965
S_TEMPERATURE,207,5.113636363636364
S_RADIUS_EST,204,5.0395256916996045
S_MAG,179,4.421936758893281
S_TYPE_TEMP,136,3.3596837944664033
P_PERIOD,110,2.717391304347826
S_DISTANCE_ERROR_MIN,81,2.0009881422924902
S_DISTANCE_ERROR_MAX,81,2.0009881422924902
P_PERIASTRON,70,1.7292490118577075
P_APASTRON,70,1.7292490118577075
P_DISTANCE,70,1.7292490118577075
P_SEMI_MAJOR_AXIS_EST,70,1.7292490118577075
P_DISTANCE_EFF,70,1.7292490118577075
P_TYPE,17,0.4199604743083004
S_DISTANCE,6,0.14822134387351776
P_STATUS,0,0.0
P_NAME,0,0.0
P_YEAR,0,0.0
P_UPDATED,0,0.0
S_RA,0,0.0
S_NAME,0,0.0
S_DEC,0,0.0
P_DETECTION,0,0.0
S_ALT_NAMES,0,0.0
S_DEC_T,0,0.0
S_RA_H,0,0.0
S_RA_T,0,0.0
P_HABZONE_CON,0,0.0
P_HABZONE_OPT,0,0.0
S_CONSTELLATION,0,0.0
P_HABITABLE,0,0.0
S_CONSTELLATION_ABR,0,0.0
S_CONSTELLATION_ENG,0,0.0
P_RADIUS_EST,0,0.0
P_MASS_EST,0,0.0
