Column,Outliers_Replaced,Replacement_Value,Lower_Bound,Upper_Bound
S_AGE,1983,4.07,4.07,4.07
S_AGE_ERROR_MIN,1882,-2.01,-2.01,-2.01
S_AGE_ERROR_MAX,1875,2.5,2.5,2.5
P_MASS,1594,273.33208,273.33208,273.33208
P_HILL_SPHERE,1546,0.00596439515,0.00596439515,0.00596439515
P_SEMI_MAJOR_AXIS_ERROR_MIN,1539,-0.003,-0.003,-0.003
P_SEMI_MAJOR_AXIS_ERROR_MAX,1539,0.003,0.003,0.003
P_MASS_ERROR_MAX,1462,25.108412,25.108412,25.108412
P_MASS_ERROR_MIN,1461,-24.154928,-24.154928,-24.154928
P_IMPACT_PARAMETER,1383,0.38,0.38,0.38
P_ECCENTRICITY,1359,0.1,0.1,0.1
P_IMPACT_PARAMETER_ERROR_MAX,1289,0.22,0.22,0.22
P_IMPACT_PARAMETER_ERROR_MIN,1288,-0.22,-0.22,-0.22
S_METALLICITY,961,0.02,-0.125,0.15500000000000003
P_ECCENTRICITY_ERROR_MIN,924,-0.04,-0.04,-0.04
P_ECCENTRICITY_ERROR_MAX,916,0.05,0.05,0.05
P_ANGULAR_DISTANCE,861,0.368,-0.23224999999999985,1.1017499999999998
P_INCLINATION,840,88.1,88.1,88.1
P_PERIOD_ERROR_MIN,814,-9.392e-05,-0.0022742062500000003,0.0013341437500000001
P_SEMI_MAJOR_AXIS,808,0.118,0.0040000000000000036,0.244
P_PERIOD_ERROR_MAX,806,9.456e-05,-0.0014144,0.0024079999999999996
P_INCLINATION_ERROR_MIN,793,-0.5,-0.5,-0.5
P_INCLINATION_ERROR_MAX,790,0.5,0.5,0.5
S_TIDAL_LOCK,742,0.44835697,0.38461288250000003,0.5098229424999999
P_MASS_EST,715,7.8153238,-214.99848849999998,368.0057491
P_APASTRON,709,0.10464993,-0.25427341062500003,0.5707122543750001
P_PERIOD,702,11.870525,-48.64082262499999,93.36203957499998
P_DISTANCE,687,0.103,-0.25284105375000004,0.56540175625
P_SEMI_MAJOR_AXIS_EST,685,0.102199455,-0.24842286437500005,0.5578537186250001
P_DISTANCE_EFF,685,0.102557515,-0.25054292312500004,0.561525769875
P_ESI,654,0.2711924,0.07558630499999996,0.43329204500000007
P_PERIASTRON,653,0.1,-0.23090793125000003,0.52351321875
P_RADIUS,644,2.33168,-0.00560499999999986,4.702595
S_MASS_ERROR_MAX,596,0.05,-0.005000000000000011,0.11500000000000002
P_FLUX_MAX,559,75.648141,-373.14984625,664.29388375
P_FLUX,559,71.398057,-349.87067125,621.98425075
P_FLUX_MIN,554,68.632631,-336.701286875,597.0740201250001
S_DISTANCE_ERROR_MAX,539,13.72,-91.52375,157.28625
S_MASS,521,0.97,0.5299999999999998,1.4100000000000001
P_YEAR,514,2016.0,2011.0,2019.0
S_MASS_ERROR_MIN,493,-0.05,-0.11500000000000002,0.005000000000000011
S_TEMPERATURE_ERROR_MAX,462,89.36,-18.192499999999995,192.9875
P_RADIUS_ERROR_MAX,451,0.32509,-0.2732437500000001,0.9934862500000001
P_RADIUS_ERROR_MIN,439,-0.23541,-0.801515,0.229805
S_RADIUS_ERROR_MIN,411,-0.06,-0.30500000000000005,0.13500000000000004
S_LUMINOSITY,374,0.90503488,-1.5329719812499998,3.73686182875
S_RA,374,287.60689,78.78891625,422.93794625000004
S_RA_H,374,19.173793500000002,5.252593874999995,28.195864875000005
S_METALLICITY_ERROR_MAX,373,0.105,0.045,0.181
S_DISTANCE_ERROR_MIN,366,-13.48,-122.68249999999998,70.77749999999999
S_ABIO_ZONE,339,1.4291185,-1.39108939375,4.2946372762500005
S_RADIUS_EST,324,0.97,0.18000000000000016,1.8599999999999999
S_RADIUS,322,0.97,0.19500000000000017,1.835
S_LOG_G,294,4.44,3.964999999999999,4.885000000000001
S_HZ_CON1_MAX,275,1.6064604,-0.34789543749999985,3.6948918624999996
S_HZ_OPT_MAX,275,1.6944161,-0.36694048750000063,3.897189412500001
S_HZ_CON0_MAX,275,1.6064604,-0.34789543749999985,3.6948918624999996
S_HZ_CON_MAX,275,1.6064604,-0.34789543749999985,3.6948918624999996
S_HZ_CON_MIN,268,0.910568965,-0.23535986249999985,2.1283762375
S_HZ_CON1_MIN,268,0.878997425,-0.22695060625000008,2.05424940375
S_SNOW_LINE,268,2.5685997,-0.8801867500000002,6.26033725
S_HZ_CON0_MIN,268,0.96297166,-0.24711809999999979,2.24875694
S_HZ_OPT_MIN,268,0.71889165,-0.18585474749999997,1.6803970725
S_METALLICITY_ERROR_MIN,252,-0.107,-0.20399999999999996,-0.03600000000000003
S_RADIUS_ERROR_MAX,252,0.08,-0.24000000000000002,0.48
S_TEMPERATURE,244,5598.0,3813.625,7158.625
S_MAG,221,13.701,6.922874999999998,19.631875
P_HABZONE_OPT,201,0.0,0.0,0.0
S_TEMPERATURE_ERROR_MIN,160,-90.0,-210.0,30.0
P_HABZONE_CON,138,0.0,0.0,0.0
P_TEMP_EQUIL_MAX,99,751.35378,-284.8951249999999,1831.2796749999998
P_TEMP_EQUIL,98,740.24847,-288.2149437500001,1805.34452625
P_TEMP_EQUIL_MIN,97,733.29306,-294.78906874999996,1792.71516125
S_DISTANCE,96,479.5,-901.1237500000001,1924.2462500000001
S_DEC,45,40.933938,-65.94545124999999,112.95544874999999
P_RADIUS_EST,3,2.66798,-13.39595,26.87037
